Node,Weighted Load (%),Weighted Network Load (%),Weighted Tasks Load (pieces),Work time (%),Total Calculated Tasks
1,84.0,50.0,13.0,101,1560
2,84.0,50.0,13.0,101,1560
3,74.0,45.0,12.0,89,1440
4,74.0,45.0,12.0,89,1440
5,91.8033,60.0,14.0,110,1680
6,91.8033,60.0,14.0,110,1680
7,91.8033,60.0,14.0,110,1680
8,91.8033,60.0,14.0,110,1680
9,91.8033,60.0,14.0,110,1680
10,91.8033,60.0,14.0,110,1680
11,91.8033,60.0,14.0,110,1680
12,98.1818,100.0,19.0,118,2280
