Node,Weighted Load (%),Weighted Network Load (%),Weighted Tasks Load (pieces),Work time (%),Total Calculated Tasks
1,94.0,23.5,47.0,113,5640
2,92.0,23.0,46.0,110,5520
3,92.0,23.0,46.0,110,5520
4,92.0,23.0,46.0,110,5520
5,75.4098,23.0,46.0,90,5520
6,75.4098,23.0,46.0,90,5520
7,75.4098,23.0,46.0,90,5520
8,75.4098,23.0,46.0,90,5520
9,75.4098,23.0,46.0,90,5520
10,75.4098,23.0,46.0,90,5520
11,75.4098,23.0,46.0,90,5520
12,41.8182,23.0,46.0,50,5520
